0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,cue,activity
30.672,25.435,33.106,31.833,31.768,28.025,22.029,21.968,14.578,13.507,14.521,29.901,15.036,16.431,14.235,12.643,14.16,13.068,13.208,28.63,11.095,14.481,11.798,7.987,11.987,9.824,12.308,13.322,8.767,10.74,7.273,4.158,6.872,6.813,6.561,6.616,3.305,6.546,5.014,3.691,7.127,7.331,5.43,6.404,5.077,6.22,5.28,4.53,12.253,12.048,13.496,12.703,12.338,11.123,9.337,8.752,28.104,16.356,14.303,9.797,5.677,5.925,11.506,35.146,22.725,19.244,11.283,6.527,6.349,8.006,1,1
26.232,27.157,32.479,31.42,33.939,30.958,24.288,22.64,14.943,15.031,18.062,26.101,20.219,18.777,13.087,13.487,10.78,10.863,11.277,23.558,10.467,10.952,8.505,7.66,9.07,8.393,9.664,11.256,8.791,8.864,7.215,4.875,4.488,6.59,6.596,3.079,6.338,6.869,5.804,2.703,6.479,5.691,6.064,5.495,6.43,5.096,4.488,4.417,19.896,20.219,21.512,20.382,20.371,19.248,16.994,15.976,28.639,17.463,11.758,8.516,5.308,5.52,19.325,34.775,22.643,14.894,7.987,4.941,4.935,14.147,1,1
27.871,31.683,35.264,34.263,40.292,37.578,31.461,28.207,20.08,20.648,23.15,27.199,24.647,22.804,17.884,16.002,13.778,12.819,15.773,22.412,15.912,14.533,11.646,11.331,11.518,11.525,12.871,13.226,12.016,10.286,8.548,5.038,6.701,8.036,9.296,7.475,8.999,8.258,7.029,4.078,9.332,8.949,10.753,9.99,9.654,8.975,6.965,5.88,23.897,24.654,25.855,24.754,24.934,23.886,21.727,20.511,33.327,21.552,14.776,10.628,7.484,8.812,23.777,38.882,24.486,16.361,9.71,5.095,6.498,18.716,0,1
27.997,29.185,34.61,33.77,37.859,32.94,28.465,25.758,16.455,17.812,20.659,24.788,21.946,19.965,15.117,13.456,11.6,13.112,14.358,21.29,15.278,13.993,9.701,8.325,10.032,10.304,9.935,11.263,7.813,10.13,5.643,4.651,5.802,5.279,4.961,6.82,5.799,5.086,3.077,3.854,7.476,7.231,8.21,7.129,7.259,7.105,4.829,4.8,21.605,22.472,23.715,22.707,22.806,21.774,19.74,18.571,31.323,18.775,13.457,8.721,5.085,6.755,21.674,35.359,21.74,16.114,10.302,4.85,5.194,16.242,0,1
28.206,29.659,35.197,33.3,37.72,32.887,29.014,24.996,17.799,18.463,21.147,25.711,20.379,19.167,15.25,14.322,10.652,13.671,11.03,21.776,12.277,12.806,6.745,7.76,10.409,9.273,8.862,8.618,8.587,8.396,5.527,5.832,5.696,5.923,4.323,6.586,3.425,3.017,1.83,1.085,5.958,5.292,6.101,6.184,5.531,5.138,4.55,4.607,18.417,18.858,20.194,19.257,19.174,18.072,16.086,15.106,31.372,19.03,12.09,8.188,3.986,5.42,18.146,35.897,22.856,15.366,9.029,3.974,4.424,12.801,0,1
23.148,22.809,26.099,27.37,27.119,26.198,21.556,21.53,16.008,15.561,18.37,21.273,16.09,16.709,16.591,13.394,10.984,11.461,10.341,17.655,10.121,9.188,8.004,6.859,6.813,6.392,7.644,10.66,7.015,6.98,5.104,4.378,3.459,1.859,3.827,7.661,4.46,1.162,0.96,1.199,6.397,4.619,5.77,6.492,5.485,5.956,4.513,4.761,16.222,16.4,17.796,16.905,16.723,15.615,13.749,13.073,24.479,16.749,10.577,6.873,3.073,5.499,15.81,27.876,19.504,12.948,6.566,2.42,4.591,10.854,0,1
32.4,33.559,39.382,38.402,40.846,37.001,32.872,29.323,21.118,22.665,27.371,28.0,27.834,24.325,22.565,18.302,16.353,16.107,18.854,21.942,18.512,15.923,14.352,11.634,10.03,10.925,12.246,11.532,12.075,11.831,9.106,7.484,5.657,5.347,6.273,7.582,5.102,4.908,3.373,2.421,8.001,7.465,8.85,8.435,8.377,7.26,5.541,5.258,23.046,23.798,25.133,24.047,24.239,23.136,21.011,19.905,35.473,24.022,16.71,10.654,5.083,7.398,23.039,39.538,26.507,18.213,10.731,4.087,5.751,17.906,0,1
33.374,35.116,41.601,40.105,43.058,38.009,35.405,30.603,26.037,27.922,32.832,32.388,32.809,29.796,27.394,23.905,21.407,22.057,26.037,26.484,25.8,23.187,20.817,17.91,16.894,17.519,20.961,19.595,20.215,18.062,15.076,13.554,13.254,13.928,16.836,15.821,15.885,14.739,11.98,11.062,14.841,15.368,17.44,16.514,16.895,15.12,13.616,11.986,14.898,15.799,17.34,16.508,16.909,15.527,13.671,12.283,37.159,29.135,22.963,17.734,14.188,15.222,15.367,41.814,31.358,23.664,16.708,11.387,12.002,10.277,0,1
29.953,32.381,39.042,37.649,40.789,34.566,32.478,26.842,23.989,25.487,30.546,30.698,30.763,27.315,25.155,21.572,19.423,19.964,24.73,25.671,24.123,21.601,19.787,17.393,16.332,17.433,20.371,19.143,19.424,17.298,15.299,14.014,12.777,14.036,16.856,16.195,16.447,15.046,12.703,11.12,13.349,14.743,16.888,16.078,16.234,15.014,12.951,11.549,11.031,11.572,12.926,12.68,12.679,11.388,9.857,8.83,34.212,26.941,21.586,17.414,14.397,14.601,11.37,39.192,29.12,22.066,15.482,11.535,11.682,7.478,0,1
16.287,21.537,27.059,26.256,27.786,24.211,20.933,18.584,17.144,18.137,21.551,25.904,21.941,19.895,18.119,15.243,10.309,9.792,11.356,21.659,11.429,11.075,9.272,6.042,8.23,9.447,9.829,10.735,8.583,8.511,8.129,6.532,4.219,4.707,6.312,6.532,5.03,6.82,5.739,3.846,3.461,5.21,4.567,5.794,3.304,5.064,2.395,2.413,4.974,4.78,4.455,5.219,4.522,4.048,2.718,2.851,22.832,19.742,11.367,8.749,5.401,4.026,4.196,27.647,22.295,14.763,8.469,4.384,4.159,2.337,0,1
