0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,cue,activity
20.381,22.223,33.203,24.215,34.935,24.264,27.857,18.872,10.712,12.636,21.094,16.186,24.392,13.042,19.479,10.314,9.611,7.99,15.03,16.508,19.952,10.012,16.012,6.572,7.489,6.787,12.516,7.992,15.409,7.366,15.552,5.865,5.558,4.041,7.369,7.615,14.003,3.975,10.793,2.407,6.947,8.545,13.46,8.481,15.006,10.28,11.8,6.952,5.839,13.336,20.484,15.164,16.624,13.418,16.406,10.222,25.744,15.982,12.711,9.872,6.97,10.184,13.937,31.739,21.095,17.704,13.094,10.601,12.792,15.481,1,3
17.371,18.251,30.407,21.863,34.752,21.491,27.176,15.507,14.673,16.164,26.89,20.44,29.401,19.958,26.291,13.373,10.009,9.179,17.647,18.754,22.354,13.742,17.521,8.035,6.731,9.865,17.246,12.802,23.07,14.967,22.678,8.683,3.685,4.608,11.534,8.032,18.058,7.294,15.511,3.568,9.48,11.162,14.259,10.346,16.345,12.585,14.28,9.014,7.412,11.73,16.454,11.829,14.856,12.752,14.724,9.801,23.352,20.899,14.655,14.505,9.036,12.184,12.445,30.672,27.081,20.978,19.81,13.81,14.154,13.466,1,3
22.037,17.497,24.951,19.625,30.061,18.302,21.065,17.189,10.589,10.62,15.072,12.131,18.185,10.13,16.189,7.569,7.715,4.98,10.609,14.288,16.559,7.989,11.741,5.502,9.812,9.443,10.458,8.736,13.576,9.573,10.566,6.358,9.462,10.315,8.967,6.076,11.912,6.709,8.322,1.298,11.625,11.528,12.605,7.329,10.855,9.098,10.731,5.725,5.166,7.1,12.017,7.357,9.818,7.552,10.04,5.553,21.341,12.561,9.923,9.815,7.883,9.937,8.076,26.022,16.146,14.732,12.27,11.395,12.999,9.272,0,3
22.938,17.758,20.384,19.606,23.722,17.521,18.913,17.551,13.963,9.375,12.889,9.727,14.374,8.336,11.592,8.292,10.118,8.159,9.573,13.319,15.897,8.469,8.489,5.78,8.188,6.935,7.519,5.586,11.934,6.972,8.664,5.038,12.554,10.355,9.532,6.605,9.166,6.596,7.983,2.685,12.206,11.254,11.923,8.327,11.997,10.428,9.833,4.406,6.066,6.673,10.738,6.517,8.881,6.813,8.535,4.83,19.799,11.068,9.976,7.605,8.185,10.047,7.382,22.201,13.835,13.304,11.179,11.845,12.485,7.912,0,3
28.516,25.463,25.451,25.43,25.013,24.904,24.597,24.397,14.136,11.693,13.761,10.549,13.539,10.552,13.324,9.171,7.243,7.161,7.121,12.999,13.919,5.591,7.527,5.815,7.71,5.312,7.758,5.659,9.456,8.894,11.747,8.208,9.097,6.218,9.704,6.443,9.164,6.359,8.579,6.303,11.819,11.522,12.446,7.708,10.003,9.689,10.153,5.485,4.989,7.484,12.645,7.778,9.123,6.37,9.389,5.718,25.471,12.091,8.422,8.093,7.733,9.853,7.937,24.733,13.781,12.468,11.375,11.43,12.776,9.242,0,3
30.626,30.576,30.288,30.316,29.73,30.447,30.412,30.643,10.511,10.046,11.549,9.551,15.666,9.534,11.216,7.333,6.915,8.287,10.53,13.706,15.706,7.23,8.208,4.653,7.111,3.909,6.696,6.463,10.255,4.981,5.682,2.938,8.736,5.09,8.023,3.336,9.607,5.241,8.515,4.597,10.69,8.75,12.504,7.398,10.815,7.713,8.684,5.963,5.264,7.351,12.656,6.502,8.387,6.302,8.615,5.458,30.38,10.676,9.404,6.004,6.643,9.065,7.567,24.274,13.952,12.82,9.459,9.912,11.336,8.766,0,3
27.367,27.106,26.919,27.082,26.983,27.611,28.119,27.851,17.164,9.195,11.116,12.902,15.174,6.617,11.475,8.59,8.643,7.679,7.794,12.747,15.133,7.701,9.078,6.546,6.854,6.943,6.016,7.287,9.488,9.866,7.72,6.43,7.639,6.849,5.443,6.268,9.063,5.995,6.793,3.947,11.181,9.488,10.165,7.032,9.695,7.635,8.29,5.682,5.175,6.577,11.277,6.682,8.615,5.782,8.461,5.567,27.38,11.529,9.415,7.576,6.5,8.646,7.267,24.997,15.395,13.825,10.278,9.393,11.039,8.106,0,3
24.879,25.393,24.639,25.95,25.12,26.675,29.113,25.97,10.088,9.908,11.872,10.567,13.715,8.545,14.456,6.966,8.687,7.655,8.162,14.146,16.884,6.641,7.937,4.765,8.37,6.446,6.313,8.931,9.35,7.231,6.6,7.97,7.123,7.876,5.079,8.03,8.956,5.475,4.664,5.22,7.971,8.513,11.503,7.374,8.948,7.751,9.521,7.112,5.149,7.588,13.458,7.623,9.909,6.489,9.088,4.92,25.967,10.765,9.36,7.651,6.553,8.587,8.028,24.62,14.484,13.733,10.452,8.653,10.342,8.78,0,3
26.249,26.566,25.468,25.967,25.01,26.302,27.496,25.309,8.738,9.365,10.853,10.369,15.069,10.318,13.694,9.118,8.187,7.063,7.702,15.21,16.676,8.683,9.374,7.03,6.955,6.479,5.799,9.144,10.234,8.948,7.579,8.503,6.143,6.114,5.671,8.683,10.273,6.789,6.144,5.388,7.462,8.935,9.058,7.859,9.95,8.07,9.081,8.104,4.92,6.731,9.451,6.519,9.049,6.196,7.024,5.322,26.046,10.941,9.991,7.955,6.9,8.565,6.901,24.457,13.628,13.749,9.989,8.918,9.733,6.591,0,3
30.028,29.469,28.849,29.819,27.346,27.78,26.469,29.16,12.035,11.948,13.784,12.676,15.172,13.002,14.635,12.106,7.807,7.832,11.359,14.613,15.936,9.061,10.942,8.771,6.553,6.316,8.116,7.442,11.193,7.879,7.764,6.74,5.984,3.807,6.008,7.034,7.853,6.373,5.48,5.772,9.837,8.788,9.759,7.124,9.182,8.344,8.663,6.282,4.036,5.667,8.506,4.579,7.975,6.318,7.763,5.96,28.615,13.17,10.79,7.75,6.039,8.497,6.351,24.244,13.571,13.27,8.825,6.623,8.401,6.017,0,3
