0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,cue,activity
15.347,18.509,16.229,12.788,21.752,14.534,14.597,13.12,10.984,10.768,9.241,11.119,12.244,10.529,10.063,10.859,13.657,10.698,11.391,12.664,9.884,10.89,9.429,11.836,7.44,8.343,7.225,9.622,4.911,10.626,7.172,7.015,4.442,4.689,6.387,6.626,3.615,8.701,6.21,5.594,6.022,7.111,6.708,6.729,8.23,8.131,7.021,5.815,5.82,7.355,7.85,7.215,9.682,5.999,6.994,5.488,15.859,10.726,11.306,7.794,5.783,6.971,7.05,20.763,13.632,14.151,9.17,5.949,7.485,7.203,1,1
25.65,20.523,26.59,19.757,32.806,16.777,17.362,21.019,17.787,16.608,19.327,16.992,22.807,12.219,13.947,15.795,12.22,12.949,15.237,16.425,17.064,11.814,14.06,18.017,9.68,12.013,12.997,13.358,13.848,9.12,8.15,10.883,4.102,7.039,9.599,8.177,9.235,8.046,6.463,4.368,8.567,12.402,13.568,12.934,13.436,8.43,8.161,7.32,13.103,19.534,21.713,20.82,20.138,11.841,15.314,14.263,22.561,16.935,14.723,11.256,7.129,10.602,17.09,30.577,21.861,19.324,14.646,9.853,13.909,20.515,1,1
27.633,25.803,34.657,26.337,41.599,17.655,19.239,23.968,19.044,25.781,32.835,25.522,33.416,14.616,17.658,20.756,13.548,23.355,29.096,24.021,28.005,13.303,15.681,18.534,12.618,22.933,27.797,23.143,25.65,9.36,14.395,15.434,8.598,21.897,26.554,22.304,23.728,10.348,13.372,12.525,15.651,27.745,31.563,28.367,27.792,13.976,18.125,18.043,25.506,37.092,40.126,38.437,36.121,22.407,27.527,27.511,27.111,23.704,20.693,18.916,17.416,22.658,31.841,37.86,31.308,27.876,25.198,23.061,28.508,39.248,0,1
16.736,26.621,35.076,25.098,40.818,17.777,19.775,19.059,15.1,24.805,32.577,25.275,33.521,12.475,16.644,17.772,11.716,23.558,29.974,24.533,29.053,8.531,13.787,16.404,10.791,21.524,26.461,21.728,24.274,9.791,13.557,12.783,11.325,23.748,28.173,23.891,25.661,11.143,14.743,13.796,14.751,25.292,28.807,25.776,25.963,12.718,16.362,16.136,23.476,34.813,37.82,36.133,34.002,20.497,25.389,25.385,25.12,22.271,19.695,17.614,19.06,20.726,29.689,35.046,30.836,27.759,23.125,24.635,25.735,36.517,0,1
20.399,26.185,31.988,24.525,37.317,17.794,18.605,19.596,14.407,23.434,31.096,24.404,31.682,13.432,16.091,16.076,8.89,21.196,27.775,22.199,25.78,9.018,11.871,13.332,8.36,20.743,26.036,20.945,23.026,12.06,13.98,13.312,11.426,21.931,26.448,22.29,22.732,11.059,13.417,14.044,17.059,26.766,30.492,27.329,26.174,15.351,18.701,18.753,23.176,34.327,37.296,35.421,32.626,20.454,24.824,24.774,24.551,21.328,17.508,17.308,17.918,22.578,29.112,32.913,29.195,24.326,22.071,22.319,26.94,35.601,0,1
15.479,25.449,33.079,24.827,42.958,14.675,18.07,19.349,14.283,26.285,32.829,26.259,33.698,15.165,17.812,17.08,10.087,22.643,29.043,23.458,27.574,12.378,15.22,14.069,9.873,21.35,27.065,21.441,23.698,10.421,12.288,12.41,11.678,22.264,26.908,22.183,23.06,10.026,12.938,13.918,13.951,24.978,28.756,25.349,24.345,12.367,16.011,15.962,21.994,33.568,36.562,34.778,32.142,18.838,23.791,23.763,24.236,22.926,19.309,17.318,17.872,20.215,28.179,33.539,30.34,25.675,23.281,22.538,25.039,34.736,0,1
16.997,20.669,23.906,19.849,32.011,14.718,16.921,15.336,11.813,17.212,23.091,16.728,23.177,10.99,13.082,14.128,7.675,12.123,17.729,12.851,17.934,8.481,9.543,9.247,8.947,10.621,14.335,11.189,12.762,8.665,7.106,6.631,5.234,8.882,12.519,7.496,10.715,5.471,4.389,5.913,7.128,12.059,14.902,11.525,14.123,7.159,8.158,7.151,7.694,14.815,17.291,15.654,15.592,7.933,9.178,8.39,20.051,16.278,11.948,10.032,7.577,10.276,12.068,26.807,21.469,16.191,12.612,9.056,12.5,14.173,0,1
23.839,27.351,31.491,28.382,41.859,19.633,27.827,18.934,18.081,14.716,21.716,20.725,28.934,10.104,13.845,18.467,7.784,13.813,20.17,17.63,20.594,10.107,10.22,16.466,9.729,14.702,20.007,15.375,17.173,11.198,9.21,10.286,7.834,16.494,20.527,16.43,16.801,9.422,10.485,10.764,10.574,22.085,25.959,23.022,21.716,10.72,14.467,13.949,21.641,32.908,35.854,34.297,32.086,19.115,23.906,23.832,27.414,18.323,14.598,13.46,13.594,17.812,27.955,36.675,26.057,20.513,18.103,16.198,22.456,34.202,0,1
26.425,29.87,35.307,32.595,45.875,21.898,32.457,28.976,19.144,22.907,27.844,25.8,33.216,15.221,21.901,23.711,14.131,19.218,23.973,22.932,20.992,14.37,15.577,20.397,8.518,18.427,23.632,19.246,21.175,12.196,10.888,12.938,9.648,19.373,24.014,20.344,21.588,9.911,12.886,12.048,12.784,24.014,27.691,25.187,24.232,11.448,15.722,15.667,26.742,38.423,41.325,39.892,37.483,24.016,29.161,29.247,31.675,23.718,18.949,15.877,16.227,19.593,33.286,41.901,30.857,25.203,21.747,20.619,24.494,40.898,0,1
28.585,35.987,39.31,37.068,69.383,29.935,38.807,33.647,19.287,24.709,28.287,26.228,51.401,17.801,24.989,26.582,15.357,14.327,18.842,24.795,36.885,13.118,16.333,23.923,9.402,14.195,16.324,16.147,25.936,11.737,12.189,13.886,5.742,13.135,15.697,14.471,19.281,10.093,9.631,9.375,10.053,15.553,19.015,15.664,21.559,9.666,10.546,13.136,15.29,24.904,27.486,27.548,30.738,14.411,18.278,17.863,39.09,27.41,20.448,14.977,12.178,14.399,22.064,51.681,38.151,29.796,21.315,16.803,18.633,29.191,0,1
