0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,cue,activity
27.266,24.633,24.818,30.4,34.905,28.956,34.821,29.132,14.833,16.39,14.593,24.038,22.097,18.2,22.943,23.543,12.29,13.78,12.306,25.964,16.949,15.82,15.112,22.139,10.408,11.126,11.103,12.704,9.326,12.62,11.967,17.304,7.131,8.18,7.663,10.205,6.495,8.16,6.805,15.068,8.652,9.114,8.722,11.55,7.497,8.525,8.635,13.019,16.322,14.147,16.952,19.19,17.917,14.322,18.23,14.894,29.366,19.58,16.795,12.07,8.713,9.464,16.497,35.277,25.054,22.286,14.234,10.172,9.188,14.07,1,2
26.732,22.679,24.126,27.339,31.148,23.345,30.801,23.242,19.215,17.386,18.465,23.169,24.437,19.364,24.11,22.164,15.699,14.221,14.842,21.792,17.804,14.958,15.732,15.84,9.741,7.522,8.326,13.385,8.212,9.553,9.442,11.535,7.99,9.56,8.41,10.4,5.413,8.275,8.177,11.509,8.526,8.854,8.634,12.566,6.593,7.26,7.815,13.336,11.178,10.157,11.202,15.258,10.386,8.715,10.862,12.361,26.177,21.039,16.361,9.715,8.717,9.198,11.265,30.739,24.402,18.425,10.944,8.235,9.653,10.332,1,2
30.2,25.546,27.108,26.999,34.895,26.955,32.77,24.134,22.462,20.1,21.372,21.663,26.456,20.524,25.519,20.2,17.781,15.944,17.119,19.59,19.607,16.208,20.139,16.937,11.851,10.42,11.782,12.517,13.855,11.445,13.963,11.054,9.964,9.54,9.628,10.445,10.084,8.535,11.407,10.625,9.549,9.727,10.353,12.393,9.244,8.975,9.726,12.474,11.955,10.954,11.154,13.98,11.241,9.978,11.934,11.824,28.576,22.287,17.916,12.111,10.028,10.305,11.627,32.256,23.046,17.73,11.615,8.049,9.681,9.952,0,2
36.33,34.002,35.677,34.927,45.837,37.472,43.702,32.318,32.012,30.322,31.556,30.885,38.087,32.396,37.223,28.29,24.731,24.194,25.126,24.988,29.713,25.784,29.919,21.895,18.674,17.568,18.288,17.927,22.343,18.61,22.248,15.953,13.147,12.265,12.887,11.105,15.955,12.552,16.037,14.345,12.81,12.538,12.997,12.395,15.674,13.467,15.959,17.109,9.11,9.427,8.793,9.428,11.632,9.929,12.471,12.462,37.533,32.596,25.794,18.951,13.537,14.119,10.406,41.119,33.446,25.284,16.71,11.704,12.953,8.897,0,2
38.04,36.045,37.645,36.929,47.774,39.504,45.753,33.978,29.305,28.037,29.519,29.043,36.475,30.703,35.743,26.799,23.102,22.616,23.485,22.657,28.4,24.365,28.367,20.651,19.37,18.884,20.323,19.343,23.418,20.139,23.982,16.897,15.646,15.39,15.831,14.789,19.65,16.141,20.195,14.006,13.633,14.021,13.649,13.633,16.14,13.577,17.058,12.956,7.68,8.451,7.904,8.003,10.637,8.728,11.521,7.659,39.459,30.703,24.205,20.294,16.456,14.333,8.823,43.277,31.54,24.177,18.124,13.671,11.707,6.496,0,2
24.736,22.023,23.641,24.494,32.879,24.193,30.223,19.33,13.257,14.102,13.258,13.141,14.751,13.575,15.753,12.059,8.02,11.069,7.745,10.678,9.542,11.615,9.845,9.566,6.83,8.424,8.628,7.888,4.993,9.36,7.468,6.669,1.965,2.271,2.959,1.006,2.317,2.583,3.119,2.856,4.404,6.057,3.792,5.161,2.799,4.198,4.293,5.665,2.927,4.217,2.913,4.366,2.573,2.982,3.572,3.246,25.19,13.737,9.76,7.533,2.384,4.546,3.349,29.076,16.018,12.769,8.861,2.876,4.439,2.136,0,2
23.894,16.229,16.97,22.718,32.326,23.611,31.314,20.145,16.847,14.897,15.219,14.884,20.922,15.24,21.209,16.508,7.973,7.884,9.776,13.985,9.078,7.53,9.311,8.558,4.479,5.552,5.517,6.169,7.92,8.125,10.363,4.003,1.556,3.533,3.426,3.002,5.617,5.45,6.71,3.434,3.094,5.479,3.812,4.758,4.025,4.781,5.531,6.071,3.527,4.966,4.291,5.13,3.593,3.605,4.363,3.168,23.401,16.966,9.262,6.516,4.091,4.694,4.081,30.674,18.757,10.87,8.051,3.752,4.72,2.43,0,2
25.727,25.102,26.335,28.402,38.953,30.777,37.768,26.712,20.216,18.984,20.457,20.311,28.805,22.615,28.136,18.342,13.997,14.205,14.705,16.066,18.809,15.082,18.532,12.193,8.817,7.756,8.303,10.122,12.065,8.928,13.242,7.16,5.898,7.583,7.214,7.586,10.346,7.721,10.345,8.636,6.873,8.496,7.881,8.016,10.992,8.195,11.575,8.085,6.062,6.815,6.824,6.881,8.258,6.482,9.214,5.284,29.972,22.233,15.448,9.549,8.166,8.764,6.977,34.377,23.076,15.025,9.828,6.338,8.03,4.647,0,2
30.064,29.024,30.178,30.949,41.884,33.425,40.033,28.213,25.927,24.3,25.801,25.574,32.664,26.759,31.961,22.458,17.462,16.169,17.372,18.49,22.05,17.891,21.518,13.839,9.516,9.854,11.54,12.698,14.992,11.82,15.947,9.832,8.25,8.625,8.614,8.417,11.266,7.694,10.978,6.3,8.963,8.949,9.183,9.189,11.581,9.401,12.449,8.761,7.943,8.068,7.872,8.554,9.497,8.025,10.663,6.683,32.971,26.931,18.099,12.025,8.768,9.81,8.413,36.21,27.271,18.307,11.009,6.554,8.331,6.011,0,2
23.609,22.085,23.568,23.841,31.997,23.255,30.269,21.279,23.304,22.019,23.318,22.747,28.234,23.513,27.643,21.403,16.095,14.708,15.781,18.258,17.948,16.179,18.24,13.951,9.334,11.721,10.438,10.732,11.892,14.47,12.931,7.221,8.404,8.723,8.184,9.29,10.099,8.278,10.36,6.235,7.493,7.951,7.787,7.21,6.702,6.178,7.748,6.027,5.363,5.505,4.899,5.593,5.182,4.417,5.169,4.282,24.988,24.022,16.395,11.092,8.697,7.137,5.051,28.37,24.541,17.58,11.324,6.647,6.258,3.512,0,2
